藥品代碼,藥品分類分組名稱,含包裹支付的醫令量_合計
A000749100,BELLADONNA ALKALOID 4MG + ALUMINUM HYDROXIDE 100MG， 一般錠劑膠囊劑，,54249
A000822157,DEXTROMETHORPHAN HBR  0.5MG/ML+ AMMONIUM CHLORIDE 2MG/ML+ CHLORPHENIRAMINE MALEATE  0.15MG/ML+METHYLEPHEDRINE DL- HCL  0.4MG/ML+ POTASSIUM GUAIACOLSULFONATE 6MG/ML，口服液劑，120ML,39
A000844100,MEPENZOLATE ， 一般錠劑膠囊劑 ， 7.50 MG,59
A000849100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,83
A000862100,MAGNESIUM OXIDE 70MG + SODIUM BICARBONATE 200MG， 一般錠劑膠囊劑，,62
A000895100,DIAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,202.5
A000900100,PROPRANOLOL ， 一般錠劑膠囊劑 ， 10.00 MG,6
A000902100,INOSITOL ， 一般錠劑膠囊劑 ， 200.00 MG,27
A000933100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,249
A000985100,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,148
A000998100,DIMETHICONE 36.7MG + ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG， 一般錠劑膠囊劑，,7989
A001001100,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 5.00 MG,4864.2
A0010011G0,SERRAPEPTASE ， 一般錠劑膠囊劑 ， 5.00 MG,429
A001046100,MAGNESIUM OXIDE ， 一般錠劑膠囊劑 ， 250.00 MG,853807.7
A0010471G0,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,9
A001057100,GUAIFENESIN ， 一般錠劑膠囊劑 ， 100.00 MG,5045.3
A001059100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,80.5
A001068100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,8
A001112100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,173
A001155100,PHENOBARBITAL ， 一般錠劑膠囊劑 ， 30.00 MG,175.5
A0011921G0,ETILEFRIN ， 一般錠劑膠囊劑 ， 5.00 MG,4.5
A001206100,CLOFIBRATE ， 一般錠劑膠囊劑 ， 250.00 MG,70
A001217100,DIAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,28
A001226100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,114891
A001358100,AMINOPHYLLINE ， 一般錠劑膠囊劑 ， 100.00 MG,3904.5
A001396100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,228
A001398100,NALIDIXIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,822
A001400100,DIPROPHYLLINE ， 一般錠劑膠囊劑 ， 100.00 MG,15490
A001426100,ALUMINUM HYDROXIDE ， 內服液劑 ， 40.00  MG/ML ， 1.00 ML,4536
A001426199,ALUMINUM HYDROXIDE ， 內服液劑 ， 40.00  MG/ML ， 1.00 ML,537
A001437277,AMPICILLIN ， 注射劑 ， 500.00 MG,39
A001446100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,94.5
A001448100,NOSCAPINE ， 一般錠劑膠囊劑 ， 20.00 MG,1641175.3
A001532100,MEDAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,725
A001584100,MAGNESIUM OXIDE ， 一般錠劑膠囊劑 ， 250.00 MG,371387.6
A001607100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,99
A001632100,MINOCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,974.8
A001641100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,14428.5
A001644100,DICYCLOMINE ， 一般錠劑膠囊劑 ， 20.00 MG,510
A001646100,DIAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,5610
A0016461G0,DIAZEPAM ， 一般錠劑膠囊劑 ， 2.00 MG,2553
A001648100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,36
A001673100,CINNARIZINE ， 一般錠劑膠囊劑 ， 25.00 MG,206
A0016731G0,CINNARIZINE ， 一般錠劑膠囊劑 ， 25.00 MG,15
A001691100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 7.67 - 10.00 MG,3
A001713100,AMYLASE 10MG + DIASTASE 5MG， 一般錠劑膠囊劑，,3551398.7
A001735100,SCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,18
A001779100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,18663
A001781100,BETAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,826
A001782100,CARBETAPENTANE ， 一般錠劑膠囊劑 ， 25.00 MG,287820
A001793100,含methyl testosterone 10mg，單、複方製劑，一般錠劑膠囊劑,141
A001816100,DICYCLOMINE ， 一般錠劑膠囊劑 ， 10.00 MG,62
A001833229,DEXAMETHASONE ， 注射劑 ， 10.00 MG,13.8
A001836100,METHIMAZOLE ， 一般錠劑膠囊劑 ， 5.00 MG,35
A001850100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,2140
A001856100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,347
A001865212,DIAZEPAM ， 注射劑 ， 10.00 MG,15
A001866100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,22777
A001867277,AMPICILLIN ， 注射劑 ， 500.00 MG,12
A001881100,DICYCLOMINE 2.5MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 100MG， 一般錠劑膠囊劑，,346
A001941100,DIPYRIDAMOLE ， 一般錠劑膠囊劑 ， 25.00 MG,9
A001963100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,6438
A0019631G0,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,30
A001973100,VITAMIN E (=TOCOPHEROL) ， 一般錠劑膠囊劑 ， 100.00 MG,27
A001982212,DICYCLOMINE ， 注射劑 ， 20.00 MG,5.5
A001997100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,250627.2
A002076100,ETHAMBUTOL ， 一般錠劑膠囊劑 ， 250.00 MG,6
A002078100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,1393.5
A002086100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,68
A002107500,ACETYLSALICYLIC ACID ， 栓劑 ， 125-325 MG,28
A002126100,DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG， 一般錠劑膠囊劑，,395
A002140100,VITAMINE B12 (=HYDROXOCOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,19465
A0021401G0,VITAMINE B12 (=HYDROXOCOBALAMIN) ， 一般錠劑膠囊劑 ， 500.00 MCG,184
A002242100,NALIDIXIC ACID ， 一般錠劑膠囊劑 ， 500.00 MG,1743.9
A002323100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,2393
A002341349,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML， 外用液劑， 53.00ML,450
A002341351,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML， 外用液劑， 60.00ML,2
A002341355,CALAMINE 20MG/ML + ZINC OXIDE 80MG/ML， 外用液劑， 100.00ML,457
A002343100,DIAZEPAM ， 一般錠劑膠囊劑 ， 5.00 MG,4.5
A002359100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,15543.8
A002362100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,2766
A0023681G0,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,3
A002385100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,1098
A002403100,AMPICILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,2412
A002420100,homatropine 1-1.25mg + aluminum hydroxide 0-300mg， 一般錠劑膠囊劑,9
A002444100,AMPICILLIN ， 一般錠劑膠囊劑 ， 500.00 MG,159
A002445100,AMPICILLIN 125MG + CLOXACILLIN 125MG， 一般錠劑膠囊劑，,9
A002479100,ALUMINUM HYDROXIDE ， 一般錠劑膠囊劑 ， 233.00 MG,87660
A002504100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,245.5
A002555100,DIMETHICONE ， 一般錠劑膠囊劑 ， 40.00 MG,531969.9
A002562100,BENZYDAMINE ， 一般錠劑膠囊劑 ， 25.00 MG,9
A002595100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,107926.5
A002616100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,8637.6
A002626100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,600
A002635100,SCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,153022.8
A002644100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 250.00 MG,45
A002657229,PROGESTERONE ， 注射劑 ， 250.00 MG,5004
A002658100,CYCLIZINE ， 一般錠劑膠囊劑 ， 50.00 MG,102
A002680100,ALUMINUM MAGNESIUM HYDROXIDE CARBONATE HYDRATE ， 一般錠劑膠囊劑 ， 200.00 MG,272027.6
A002684100,BROMHEXINE ， 一般錠劑膠囊劑 ， 8.00 MG,39861.3
A002699100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,1620
A002755100,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,18
A002759100,VITAMIN B2 (=RIBOFLAVIN) ， 一般錠劑膠囊劑 ， 10.00 MG,11721.5
A002760100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,181172.2
A002766100,ACETAMINOPHEN ， 一般錠劑膠囊劑 ， 300.00 MG,4943.8
A002844100,METHYLEPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,1.5
A002845100,VITAMIN B6 (=PYRIDOXINE) ， 一般錠劑膠囊劑 ， 50.00 MG,14534.5
A002856100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,136127
A002863100,GLYBURIDE (=GLIBENCLAMIDE) ， 一般錠劑膠囊劑 ， 5.00 MG,350
A002904100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,159
A002921100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,8328.5
A002961100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,99
A002971100,METHYLEPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,3232.1
A002985100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 3.00 MG,18255
A002987100,VITAMIN B12 (=CYANOCOBALAMIN) ， 一般錠劑膠囊劑 ， 1000.00 MCG,468
A002989100,CUPRIC SULFATE 0.500MG + FERROUS GLUCONATE 60.000MG + LIVER 20.000MG + THIAMINE NITRATE 1.000MG + RIBOFLAVIN (=VIT B2) 1.000MG + CYANOCOBALAMIN (=VIT B12) 2.000MCG， 一般錠劑膠囊劑,702
A002994100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,71033
A003023212,METHIONINE DL- 20MG/ML+CHLORPHENIRAMINE MALEATE 1.5MG/ML+RIBOFLAVIN PHOSPHATE 2.5MG/ML+PYRIDOXINE HCL 2.5MG/ML+PANTHENOL 5MG/ML+FLAVINEADENINE DINUCLEOTIDE 0.05MG/ML+NIACINAMIDE (=NICOTINAMIDE) 10MG/ML+BIOTIN 0.25MG/ML，注射劑，2.00ML,21.5
A003086100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,1641.8
A003092100,ACETYLSALICYLIC ACID ，一般錠劑膠囊劑， 500.00 MG,161.3
A003107100,ANETHOLE TRITHIONE ， 一般錠劑膠囊劑 ， 12.50 MG,116
A003109100,VITAMIN C (=ASCORBIC ACID) ， 一般錠劑膠囊劑 ， 100.00 MG,11904.5
A003116100,INDOMETHACIN ， 一般錠劑膠囊劑 ， 25.00 MG,18
A003133238,WATER FOR INJECTION ， 注射劑 ， 20.00 ML,41
A003156212,VITAMIN B6 (=PYRIDOXAL 5-PHOSPHATE) ， 注射劑 ， 10.00 MG,7
A003157221,HISTIDINE ， 注射劑 ， 200.00 MG,2
A003159238,SODIUM SALICYLATE 20MG/ML + CHONDROITIN 10MG/ML，  注射劑，  20.00ML,79
A003171100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,16
A003206100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,565
A003222221,HISTIDINE ， 注射劑 ， 200.00 MG,20
A003227100,CEPHALEXIN ， 一般錠劑膠囊劑 ， 500.00 MG,4115.6
A003244100,PROCHLORPERAZINE ， 一般錠劑膠囊劑 ， 5.00 MG,27
A003286100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,3865.3
A0032861G0,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,384
A003311100,DIASTASE 120MG + PANCREATIN 120MG + PEPSIN 60MG， 一般錠劑膠囊劑，,86981.8
A003314100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,490.5
A003317212,FUROSEMIDE ， 注射劑 ， 20.00 MG,3
A003318100,METOCLOPRAMIDE ， 一般錠劑膠囊劑 ， 3.84-5.00 MG,270
A003365100,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,55.5
A0033651G0,PREDNISOLONE ， 一般錠劑膠囊劑 ， 5.00 MG,220
A003367100,VITAMIN B12 (=CYANOCOBALAMIN) ， 一般錠劑膠囊劑 ， 100.00 MCG,831
A003373321,FLUOCINOLONE 0.25MG/GM + NEOMYCIN 3.5MG/GM， 外用軟膏劑， 5.00GM,24
A003373329,FLUOCINOLONE 0.25MG/GM + NEOMYCIN 3.5MG/GM， 外用軟膏劑， 10.00GM,54
A003386209,TRIAMCINOLONE ， 注射劑 ， 40.00 MG,2597.3
A003386212,TRIAMCINOLONE ， 注射劑 ， 80.00 MG,1634.7
A003386229,TRIAMCINOLONE ， 注射劑 ， 400.00 MG,3639.1
A003388100,HYDROCHLOROTHIAZIDE ， 一般錠劑膠囊劑 ， 50.00 MG,63
A003389100,ACETAZOLAMIDE ， 一般錠劑膠囊劑 ， 250.00 MG,105
A003390100,MEPROBAMATE ， 一般錠劑膠囊劑 ， 200.00 MG,18
A003393100,CHLORPROMAZINE ， 一般錠劑膠囊劑 ， 100.00 MG,176
A003417209,STREPTOMYCIN ， 注射劑 ， 1.00 GM,1
A003440100,VITAMIN B2 (=RIBOFLAVIN) ， 一般錠劑膠囊劑 ， 5.00 MG,898.8
A003442100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 4.00 MG,262187.7
A003446221,TRIAMCINOLONE ， 注射劑 ， 50.00 MG,2184.5
A003496100,FUROSEMIDE ， 一般錠劑膠囊劑 ， 40.00 MG,19.5
A003534100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,9
A003551100,PIPERILATE 3MG + ALUMINUM MAGNESIUM SILICATE 290MG + GLYCYRRHETIC ACID 40MG + HISTIDINE 30MG， 一般錠劑膠囊劑，,4817
A003572421,CHONDROITIN 10MG/ML + FLAVINEADENINE 0.5MG/ML， 眼用液劑， 5.00ML,9
A003621100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 10.00 MG,59944.5
A003623100,DICYCLOMINE 5MG + ALUMINUM HYDROXIDE 400MG + MAGNESIUM OXIDE 200MG， 一般錠劑膠囊劑，,4818
A003633100,CHLORPHENIRAMINE ， 一般錠劑膠囊劑 ， 4.00 MG,2433585.8
A003648100,AMINOPHYLLINE 25MG + CHLORPHENIRAMINE 2MG + EPHEDRINE 5MG + GUAIFENESIN 20MG， 一般錠劑膠囊劑，,109.5
A003686100,DIASTASE 120MG + PANCREATIN 120MG + PEPSIN 60MG， 一般錠劑膠囊劑，,1213
A003687100,DOXYCYCLINE ， 一般錠劑膠囊劑 ， 100.00 MG,3868.5
A003697417,TETRACYCLINE ， 眼耳鼻用軟膏 ， 10.00  MG/GM ， 3.50 GM,34.4
A003703100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,1882.5
A003704100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM HYDROXIDE 200MG， 一般錠劑膠囊劑，,810004.9
A003706100,ACETAMINOPHEN 250MG + SALICYLAMIDE  300MG， 一般錠劑膠囊劑,42
A003727100,DIPHENHYDRAMINE ， 一般錠劑膠囊劑 ， 25.00 MG,318373.5
A003739100,ALUMINUM HYDROXIDE 334MG + MAGNESIUM HYDROXIDE 166MG， 一般錠劑膠囊劑，,185267
A003759100,INDOMETHACIN ， 一般錠劑膠囊劑 ， 25.00 MG,513
A003773100,DICYCLOMINE 2MG + SCOPOLAMINE 2MG + CHLORDIAZEPOXIDE 5MG + ALUMINUM SILICATE 60MG + MAGALDRAT 350MG + MAGNESIUM OXIDE 40MG + CHLOROPHYLL SODIUM COPPER 3MG， 一般錠劑膠囊劑，,2670
A003775100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,1247
A003777100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,48
A003780100,CHLORAMPHENICOL ， 一般錠劑膠囊劑 ， 250.00 MG,96
A003786209,ERGONOVINE ， 注射劑 ， 200.00 MCG,19
A003794100,EPHEDRINE ， 一般錠劑膠囊劑 ， 25.00 MG,7
A003840100,DIMETHICONE 20MG + ALUMINUM HYDROXIDE 200MG + MAGNESIUM OXIDE 200MG， 一般錠劑膠囊劑，,15893.5
A003851100,RIFAMPICIN ， 一般錠劑膠囊劑 ， 150.00 MG,9
A003867209,BUTYLSCOPOLAMINE ， 注射劑 ， 20.00 MG,1
A003871417,ERYTHROMYCIN，眼耳鼻用軟膏， 10.00  MG/GM，3.50 GM,7
A003881209,DEXAMETHASONE ， 注射劑 ， 5.00 MG,17.6
A003903100,CYPROHEPTADINE ， 一般錠劑膠囊劑 ， 4.00 MG,124.6
A003911100,AMINOPHYLLINE ， 一般錠劑膠囊劑 ， 200.00 MG,31991.8
A003941421,NAPHAZOLINE ， 眼用液劑 ， 0.03  MG/ML ， 5.00 ML,5
A003948417,ATROPINE ， 眼耳鼻用軟膏 ， 10.00  MG/GM ， 3.50 GM,1
A003954212,LIDOCAINE ， 注射劑 ， 20.00 MG,894
A003956100,CEPHALEXIN ， 一般錠劑膠囊劑 ， 250.00 MG,41
A003968421,SULFAMETHOXAZOLE ， 眼用液劑 ， 40.00  MG/ML ， 5.00 ML,3
A003976100,BISMUTH SUBCARBONATE ， 一般錠劑膠囊劑 ， 324.00 MG,33
A003994421,NAPHAZOLINE 0.03MG/ML + CHONDROITIN 30MG/ML， 眼用液劑， 5.00ML,32
A004001421,PILOCARPINE ， 眼用液劑 ， 40.00  MG/ML ， 5.00 ML,82
A004042100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,72590
A004044100,VITAMIN B1 (THIAMINE) ， 一般錠劑膠囊劑 ， 50.00 MG,9448
A004068429,SODIUM CHLORIDE 5.5MG/ML+POTASSIUM CHLORIDE 1.6MG/ML+SODIUM PHOSPHATE MONOBASIC (=MONOSODIUM PHOSPHATE) 1.8MG/ML+BORIC ACID 0.012MG/ML+BENZALKONIUM CHLORIDE 0.05MG/ML+SODIUM CARBONATE ANHYDROUS 0.6MG/ML，眼用液劑，10.00ML,340779.3
A004073221,TRIAMCINOLONE ， 注射劑 ， 50.00 MG,104.5
A004073299,TRIAMCINOLONE ， 注射劑 ， 10.00 MG,9222
A004099100,DEXTROMETHORPHAN ， 一般錠劑膠囊劑 ， 15.00 MG,1111.5
A004156417,VITAMIN A ， 眼耳鼻用軟膏 ， 5000 IU/GM ， 3.5 GM,257
A004166421,DEXAMETHASONE SODIUM PHOSPHATE 1MG/ML + NEOMYCIN 5MG/ML， 眼用液劑， 5.00ML,4
A004189100,RESERPINE ， 一般錠劑膠囊劑 ， 250.00 MCG,9
A004211100,PYRIDOXINE HCL 2.000MG + VITAMIN A ACETATE 4000.000IU + NIACINAMIDE (=NICOTINAMIDE) 20.000MG + THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE) 2.000MG + RIBOFLAVIN (=VIT B2) 2.000MG + CYANOCOBALAMIN (=VIT B12) 5.000MCG， 一般錠劑膠囊劑,2565
A004219100,BROMHEXINE ， 一般錠劑膠囊劑 ， 8.00 MG,833081.8
A004220100,ALUMINUM HYDROXIDE 230MG + MAGNESIUM HYDROXIDE 85MG， 一般錠劑膠囊劑，,197115.3
A004221100,METHIMAZOLE ， 一般錠劑膠囊劑 ， 5.00 MG,42
A004222100,BETAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,18
A004247100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,15076
A004249100,METRONIDAZOLE ， 一般錠劑膠囊劑 ， 250.00 MG,6769.8
A004255100,ERYTHROMYCIN ， 一般錠劑膠囊劑 ， 250.00 MG,8652.5
A004263100,含ANTIHISTAMINE或NASAL DECONGESTANT之複方製劑， 一般錠劑膠囊劑,131645
A004276100,TRICHLORMETHIAZIDE ， 一般錠劑膠囊劑 ， 2.00 MG,24
A004280100,DICLOXACILLIN ， 一般錠劑膠囊劑 ， 250.00 MG,252
A004287100,MEFENAMIC ACID ， 一般錠劑膠囊劑 ， 250.00 MG,47829
A004300100,homatropine 1-1.25mg + aluminum hydroxide 0-300mg， 一般錠劑膠囊劑,6
A004322229,VITAMIN B1 100MG/ML + VITAMIN B2 5MG/ML + VITAMIN B6 5MG/ML + NICOTINAMIDE 50MG/ML + PANTOTHENIC ACID 5MG/ML， 注射劑， 10.00ML,58
A004414100,VITAMIN B1 50MG + VITAMIN B2 2-5MG， 一般錠劑膠囊劑,4770
A004417100,VITAMIN B1 50MG + VITAMIN B2 5MG + VITAMIN B6 5MG + VITAMIN B12 10MCG， 一般錠劑膠囊劑，,36125
A004423100,ESTROGEN CONJUGATED ， 一般錠劑膠囊劑 ， 1250.00 MCG,196
A004461100,OXELADIN ， 一般錠劑膠囊劑 ， 20.00 MG,29897.5
A004462100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,283
A004488421,AZULENE ， 眼用液劑 ， 0.20  MG/ML ， 5.00 ML,4
A004490417,CHLORAMPHENICOL ， 眼耳鼻用軟膏 ， 10.00  MG/GM ， 3.50 GM,3
A004491417,COLISTIN 5MG/GM + ERYTHROMYCIN LACTOBIONATE 5MG/GM， 眼耳鼻用軟膏， 3.50GM,2377
A004506100,BUTYLSCOPOLAMINE ， 一般錠劑膠囊劑 ， 10.00 MG,301.5
A004517100,FERROUS FUMARATE 75.000MG + NIACINAMIDE (=NICOTINAMIDE) 2.500MG + THIAMINE HCL (=THIAMINE CHLORIDE HYDROCHLORIDE) 0.500MG + RIBOFLAVIN (=VIT B2) 0.500MG + PYRIDOXINE HCL 1.000MG + CYANOCOBALAMIN (=VIT B12) 0.170MCG， 一般錠劑膠囊劑,108
A004565209,DEXAMETHASONE ， 注射劑 ， 4.00 MG,23
A004565229,DEXAMETHASONE ， 注射劑 ， 40.00 MG,2.8
A004643100,CHLORZOXAZONE ， 一般錠劑膠囊劑 ， 200.00 MG,81
A004648100,DEXAMETHASONE ， 一般錠劑膠囊劑 ， 500.00 MCG,53357.1
A004649321,TRIAMCINOLONE 1MG/GM + NEOMYCIN 5MG/GM， 外用軟膏劑， 5.00GM,149
A004670100,VITAMIN C (=ASCORBIC ACID) ， 一般錠劑膠囊劑 ， 200.00 MG,33
